Page,Broken Link,Section,Relative Link,Link Name
https://www.utep.edu/liberalarts/bms/about/vision-mission.html,https://www.utep.edu/liberalarts/bms/about/,Main Content (Top small navigation),/liberalarts/bms/about,About
https://www.utep.edu/liberalarts/bms/admission/index.html,https://www.utep.edu/extendeduniversity/utepconnect/future-miners/index.html,Main Content,https://www.utep.edu/extendeduniversity/utepconnect/future-miners/index.html,apply for admission
https://www.utep.edu/liberalarts/bms/student-resources/links.html,https://www.utep.edu/extendeduniversity/utepconnect/financials/tuition-and-fees/index.html,Main Content,https://www.utep.edu/extendeduniversity/utepconnect/financials/tuition-and-fees/index.html,Tuition and Fee Information
