Page,Broken Link,Section,Relative Link,Link Name
https://www.utep.edu/liberalarts/cel-program/about/about-cel.html,https://www.utep.edu/liberalarts/cel-program/about/,Main Content (Top small navigation),/liberalarts/cel-program/about,About
https://www.utep.edu/liberalarts/cel-program/about/flexible-content-template.html,https://www.utep.edu/liberalarts/cel-program/about/,Main Content (Top small navigation),/liberalarts/cel-program/about,About
https://www.utep.edu/liberalarts/cel-program/about/Full-Width.html,https://www.utep.edu/liberalarts/cel-program/about/,Main Content (Top small navigation),/liberalarts/cel-program/about,About
https://www.utep.edu/liberalarts/cel-program/how-to-apply/modules-and-tools-for-support-in-developing-cel-curriculum.html,https://drive.google.com/file/d/15fRm-7wzuqbmKwUlkz92A23IkVLEFB_p/view?ts=60648d2b,Main Content,https://drive.google.com/file/d/15fRm-7wzuqbmKwUlkz92A23IkVLEFB_p/view?ts=60648d2b,Video Link
https://www.utep.edu/liberalarts/cel-program/how-to-apply/supplemental-application-resources.html,https://www.utep.edu/liberalarts/political-science/people/professors/Virtual%20Coffee%20Feb%2024%20Flyer.pdf,General content,https://www.utep.edu/liberalarts/political-science/people/professors/Virtual Coffee Feb 24 Flyer.pdf,None
https://www.utep.edu/liberalarts/cel-program/people/cel-task-force-review-committee.html,https://www.utep.edu/liberalarts/cel-program/people/,Main Content (Top small navigation),/liberalarts/cel-program/people,People
https://www.utep.edu/liberalarts/cel-program/people/people-template.html,https://www.utep.edu/liberalarts/cel-program/people/,Main Content (Top small navigation),/liberalarts/cel-program/people,People
