Page,Broken Link,Section,Relative Link,Link Name
https://www.utep.edu/cs/support/CS-Software-Center.html,https://www.anaconda.com/distribution/,Main Content,https://www.anaconda.com/distribution/,tab1/Download
https://www.utep.edu/cs/support/CS-Software-Center.html,https://www.microsoft.com/en-us/p/ubuntu/9nblggh4msv6?activetab=pivot:overviewtab,Main Content,https://www.microsoft.com/en-us/p/ubuntu/9nblggh4msv6?activetab=pivot:overviewtab,tab0/Download
https://www.utep.edu/cs/support/research.html,http://cssrvlab01.utep.edu/classes/cs3360/username/,Main Content,http://cssrvlab01.utep.edu/classes/cs3360/username/,http://cssrvlab01.utep.edu/classes/cs3360/username/
