Page,Broken Link,Section,Relative Link,Link Name
https://www.utep.edu/liberalarts/borderland-chopin-festival/index.html,https://www.utep.edu/liberalarts/borderland-chopin-festival/about/about.html,"Main Navigation, tab name: Piano Competition",about/about.html,Piano Competition/About
https://www.utep.edu/liberalarts/borderland-chopin-festival/people/people-template.html,https://www.utep.edu/liberalarts/borderland-chopin-festival/about/about.html,"Main Navigation, tab name: Piano Competition",../about/about.html,Piano Competition/About
https://www.utep.edu/liberalarts/borderland-chopin-festival/people/people-template.html,https://www.utep.edu/liberalarts/borderland-chopin-festival/people/,Main Content (Top small navigation),/liberalarts/borderland-chopin-festival/people,People
